VARIABLE NAME                  | ADDRESS 
EEA_FC_35                      | 0x01B8
EEA_FC_36                      | 0x01B6
EEA_FC_37                      | 0x01B4
EEA_FC_38                      | 0x01B2
EEA_FC_39                      | 0x01B0
EEA_FC_41                      | 0x01AE
EEA_FC_43                      | 0x01AC
EEA_FC_44                      | 0x01AA
EEA_FC_45                      | 0x01A8
EEA_FC_46                      | 0x01A6
EEA_FC_47                      | 0x01A4
EEA_FC_48                      | 0x01A2
EEA_FC_49                      | 0x01A0
EEA_FC_51                      | 0x019E
EEA_FC_52                      | 0x019C
EEA_FC_53                      | 0x019A
EEA_FC_55                      | 0x0198
EEA_FC_57                      | 0x0196
EEA_FW_ROM_VER                 | 0x05F8
EEA_FW_TYPE_BCC                | 0x0402
EEA_FW_TYPE_BCC_1              | 0x0403
EEA_FW_TYPE_BCC_2              | 0x0404
EEA_FW_TYPE_BCC_3              | 0x0405
EEA_FW_TYPE_BCC_4              | 0x0406
EEA_FW_TYPE_BCC_5              | 0x0407
EEA_FW_TYPE_BCC_6              | 0x0408
EEA_FW_TYPE_BCC_7              | 0x0409
EEA_F_HIST_ANF                 | 0x0202
EEA_F_HIST_END                 | 0x0231
EEA_F_HIST_PTR_HIGH            | 0x0201
EEA_F_HIST_PTR_LOW             | 0x0200
EEA_HBRONTAG                   | 0x01D8
EEA_HL_HIADR                   | 0x0191
EEA_H_BON                      | 0x01E9
EEA_H_PON                      | 0x01E6
EEA_ID_CRC_BCC                 | 0x040A
EEA_ID_NR_BCC                  | 0x0400
EEA_ID_NR_BCC2                 | 0x0500
EEA_ID_NR_BCC_1                | 0x0401
EEA_ION_KALIB                  | 0x00A9
EEA_ION_KALIB_2                | 0x00AB
EEA_ION_KALIB_INV              | 0x00AA
EEA_KUNDE                      | 0x01F0
EEA_MAINPARACRC                | 0x0304
EEA_NZUENDTAG                  | 0x01D9
EEA_N_KON                      | 0x01DD
EEA_N_PON                      | 0x01DA
EEA_N_ZUE                      | 0x01EB
EEA_PRUEF_CRC                  | 0x01F6
EEA_PRUEF_LOW                  | 0x01EE
EEA_P_CODE                     | 0x00FA
EEA_RAM_ANF                    | 0x0019
EEA_RAM_ANF2                   | 0x008A
EEA_RES_CNT                    | 0x01E0
EEA_SERIAL_NO                  | 0x01F3
EEA_SHUT_OFF                   | 0x01E3
EEA_STATI_AKTIV                | 0x00FA
EEA_TVABSENK                   | 0x0301
EEA_TVSOLL_EPM                 | 0x0300
EEA_TVSOLL_EPM2                | 0x0307
EEA_TWWSOLL_EPM                | 0x0302
EEA_VARIANTE                   | 0x01F1
EEA_WISO_EPM                   | 0x0303
